author_a,author_b,author_a_name,author_b_name,papers_shared,weight_frac,both_faculty
autor_davidh_01,katz_lawrencef_01,David H. Autor,Lawrence F. Katz,10,4.750000,true
banerjee_withabhijit_04,olken_benjamina_01,with Abhijit Banerjee,Benjamin A. Olken,10,2.076190,false
barro_robert_02,lee_jinhyuk_06,Robert Barro,Jinhyuk Lee,10,10.000000,false
barro_robert_02,mccleary_rm_01,Robert Barro,R.M. McCleary,10,9.500000,false
beaulieu_nancyd_01,cutler_davidm_01,Nancy D. Beaulieu,David M. Cutler,10,2.059957,false
benjamin_danielj_01,chabris_christopherf_01,Daniel J. Benjamin,Christopher F. Chabris,10,1.212182,false
benjamin_danielj_01,magnusson_patrikke_01,Daniel J. Benjamin,Patrik K. E. Magnusson,10,0.456184,false
caballero_ricardo_01,farhi_emmanuel_01,Ricardo Caballero,Emmanuel Farhi,10,6.500000,false
chandrasekhar_arung_02,olken_benjamina_01,Arun G. Chandrasekhar,Benjamin A. Olken,10,1.379894,false
chernozhukov_victor_01,syrgkanis_vasilis_01,Victor Chernozhukov,Vasilis Syrgkanis,10,3.066667,false
chetty_raj_01,hendren_nathaniel_01,Raj Chetty,Nathaniel Hendren,10,3.459524,true
cutler_davidm_01,sahni_nikhilr_01,David M. Cutler,Nikhil R. Sahni,10,3.759524,false
cutler_davidm_01,zeckhauser_richardj_01,David M. Cutler,Richard J. Zeckhauser,10,7.000000,false
duncan_gregj_01,gennetian_lisaa_01,Greg J. Duncan,Lisa A. Gennetian,10,1.265415,false
duncan_gregj_01,kling_jeffreyr_01,Greg J. Duncan,Jeffrey R. Kling,10,1.307082,false
egorov_georgy_01,sonin_konstantin_01,Georgy Egorov,Konstantin Sonin,10,5.000000,false
eyster_erik_01,rabin_matthew_01,Erik Eyster,Matthew Rabin,10,8.333333,false
freeman_richardb_01,schettkat_ronald_01,Richard B. Freeman,Ronald Schettkat,10,10.000000,false
gennetian_lisaa_01,katz_lawrencef_01,Lisa A. Gennetian,Lawrence F. Katz,10,1.265415,false
gennetian_lisaa_01,kessler_ronaldc_02,Lisa A. Gennetian,Ronald C. Kessler,10,1.265415,false
gennetian_lisaa_01,ludwig_jenso_02,Lisa A. Gennetian,Jens O Ludwig,10,1.265415,false
gennetian_lisaa_01,sanbonmatsu_lisa_01,Lisa A. Gennetian,Lisa Sanbonmatsu,10,1.265415,false
glaeser_edwardl_01,sacerdote_bruce_01,Edward L. Glaeser,Bruce Sacerdote,10,7.500000,false
gopinath_gita_01,itskhoki_oleg_01,Gita Gopinath,Oleg Itskhoki,10,6.666667,true
grossman_sanfordj_03,hart_oliver_01,Sanford J. Grossman,Oliver Hart,10,9.500000,false
hendren_nathaniel_01,slides_unravelingexample_01,Nathaniel Hendren,Unraveling Example Slides,10,4.000000,false
hong_harrison_01,stein_jeremy_03,Harrison Hong,Jeremy Stein,10,6.500000,false
itskhoki_oleg_01,mukhin_dmitry_01,Oleg Itskhoki,Dmitry Mukhin,10,9.500000,false
johannesson_magnus_01,magnusson_patrikke_01,Magnus Johannesson,Patrik K. E. Magnusson,10,0.462500,false
kessler_ronaldc_02,kling_jeffreyr_01,Ronald C. Kessler,Jeffrey R. Kling,10,1.307082,false
khan_shakeeb_01,tamer_elie_01,Shakeeb Khan,Elie Tamer,10,6.333333,false
laibson_david_01,meyer_michellen_04,David Laibson,Michelle N. Meyer,10,0.509049,false
alsan_marcella_03,breza_emily_02,Marcella Alsan,Emily Breza,9,0.896561,false
bach_philipp_01,chernozhukov_victor_01,Philipp Bach,Victor Chernozhukov,9,3.316667,false
bach_philipp_01,spindler_martin_01,Philipp Bach,Martin Spindler,9,3.316667,false
beauchamp_jonathanp_01,laibson_david_01,Jonathan P. Beauchamp,David Laibson,9,0.739867,false
bloom_david_01,freeman_richardb_01,David Bloom,Richard B. Freeman,9,7.000000,false
