author_id,display_name,name_variants,prof_id_if_faculty,is_faculty
aggarwal_rishabh_01,Rishabh Aggarwal,Rishabh Aggarwal,,false
aghion_philippe_01,Philippe Aghion,Aghion|P. Aghion|Philippe Aghion,,false
aghion_phillipe_02,Phillipe Aghion,Phillipe Aghion,,false
aging_inadvancesintheeconomicsof_01,in Advances in the Economics of Aging,in Advances in the Economics of Aging,,false
agirre_eneko_01,Eneko Agirre,Eneko Agirre,,false
agrawal_monica_01,Monica Agrawal,Monica Agrawal,,false
agrawal_ridhika_02,Ridhika Agrawal,Ridhika Agrawal,,false
aguiar_mark_01,Mark Aguiar,Mark Aguiar,,false
ahlskog_rafael_01,Rafael Ahlskog,Rafael Ahlskog,,false
ahmad_sarah_01,Sarah Ahmad,Sarah Ahmad,,false
ahmed_nasiruddin_01,Nasiruddin Ahmed,Nasiruddin Ahmed,,false
ahn_sehyoun_01,SeHyoun Ahn,SeHyoun Ahn,,false
ahrens_a_01,A. Ahrens,A. Ahrens,,false
ahrenshop_mats_01,Mats Ahrenshop,Mats Ahrenshop,,false
ahuja_amrita_01,Amrita Ahuja,A. Ahuja|Amrita Ahuja,,false
aitken_murray_01,Murray Aitken,Murray Aitken,,false
aizcorbe_ana_01,Ana Aizcorbe,Ana Aizcorbe,,false
ajnakina_olesya_01,Olesya Ajnakina,Olesya Ajnakina,,false
ajzenman_nicolas_01,Nicolás Ajzenman,Nicolás Ajzenman,,false
akbarpour_mohammad_01,Mohammad Akbarpour,Mohammad Akbarpour,,false
akcigit_ufuk_01,Ufuk Akcigit,Ufuk Akcigit,,false
akee_randall_01,Randall Akee,Randall Akee,,false
akerlof_george_01,George Akerlof,George Akerlof,,false
akerman_anders_02,Anders Akerman,Anders Akerman,,false
akerman_withariel_01,(with Ariel Akerman,(with Ariel Akerman,,false
akinola_modupe_01,Modupe Akinola,Modupe Akinola,,false
aksoy_cevatgiray_01,Cevat Giray Aksoy,Cevat Giray Aksoy,,false
al_et_01,et al.,et al|et al.,,false
al_lisahoet_02,Lisa Ho et al.,Lisa Ho et al.,,false
al_withahmedmushfiqmobaraket_03,with Ahmed Mushfiq Mobarak et al.,with Ahmed Mushfiq Mobarak et al.,,false
al_withcarlostorreset_04,with Carlos Torres et al.,with Carlos Torres et al.,,false
al_withemilybrezaet_05,with Emily Breza et al.,with Emily Breza et al.,,false
al_withlisahoet_06,with Lisa Ho et al.,with Lisa Ho et al.,,false
al_withmarcellaalsanet_07,with Marcella Alsan et al.,with Marcella Alsan et al.,,false
alatas_vivi_01,Vivi Alatas,Vivi Alatas,,false
alatas_withvivi_02,with Vivi Alatas,with Vivi Alatas|with Vivi Alatas,,false
alba_alfonso_01,Alfonso Alba,Alfonso Alba,,false
albrecht_konstanze_01,Konstanze Albrecht,Konstanze Albrecht,,false
alcott_withhunt_01,with Hunt Alcott,with Hunt Alcott,,false
aldy_josephe_01,Joseph E. Aldy,Joseph E. Aldy,,false
alemu_robel_01,Robel Alemu,Robel Alemu,,false
alesina_alberto_01,Alberto Alesina,A. Alesina|Alberto Alesina,,false
alfaro_laura_01,Laura Alfaro,Laura Alfaro,,false
algan_yann_01,Yann Algan,Yann Algan,,false
alimohammadi_yeganeh_01,Yeganeh Alimohammadi,Yeganeh Alimohammadi,,false
alkarablieh_yazan_01,Yazan Al-Karablieh,Yazan Al-Karablieh,,false
allan_bradleym_01,Bradley M. Allan,Bradley M. Allan,,false
allcott_hunt_01,Hunt Allcott,Hunt Allcott,,false
allen_2022jointwithtreb_01,2022 (joint with Treb Allen),2022 (joint with Treb Allen),,false
allen_franklin_01,Franklin Allen,Franklin Allen,,false
allen_heidil_02,Heidi L. Allen,Heidi L. Allen,,false
allen_steven_03,Steven Allen,Steven Allen,,false
allen_treb_04,Treb Allen,Treb Allen,,false
